DATE,10Y Treasury,10Y TIPS
2016-10-17,1.77,0.09
2016-10-18,1.75,0.09
2016-10-19,1.76,0.08
2016-10-20,1.76,0.08
2016-10-21,1.74,0.07
2016-10-24,1.77,0.11
2016-10-25,1.77,0.07
2016-10-26,1.79,0.08
2016-10-27,1.85,0.13
2016-10-28,1.86,0.13
2016-10-31,1.84,0.11
2016-11-01,1.83,0.11
2016-11-02,1.81,0.11
2016-11-03,1.82,0.14
2016-11-04,1.79,0.11
2016-11-07,1.83,0.12
2016-11-08,1.88,0.15
2016-11-09,2.07,0.25
2016-11-10,2.15,0.27
2016-11-14,2.23,0.4
2016-11-15,2.23,0.41
2016-11-16,2.22,0.39
2016-11-17,2.29,0.42
2016-11-18,2.34,0.44
2016-11-21,2.33,0.42
2016-11-22,2.31,0.41
2016-11-23,2.36,0.44
2016-11-25,2.36,0.47
2016-11-28,2.32,0.47
2016-11-29,2.3,0.44
2016-11-30,2.37,0.43
2016-12-01,2.45,0.48
2016-12-02,2.4,0.49
2016-12-05,2.39,0.45
2016-12-06,2.39,0.44
2016-12-07,2.34,0.42
2016-12-08,2.4,0.45
2016-12-09,2.47,0.51
2016-12-12,2.49,0.51
2016-12-13,2.48,0.53
2016-12-14,2.54,0.6
2016-12-15,2.6,0.7
2016-12-16,2.6,0.74
2016-12-19,2.54,0.68
2016-12-20,2.57,0.67
2016-12-21,2.55,0.64
2016-12-22,2.55,0.6
2016-12-23,2.55,0.58
2016-12-27,2.57,0.58
2016-12-28,2.51,0.56
2016-12-29,2.49,0.55
2016-12-30,2.45,0.5
2017-01-03,2.45,0.47
2017-01-04,2.46,0.47
2017-01-05,2.37,0.42
2017-01-06,2.42,0.46
2017-01-09,2.38,0.43
2017-01-10,2.38,0.43
2017-01-11,2.38,0.39
2017-01-12,2.36,0.38
2017-01-13,2.4,0.41
2017-01-17,2.33,0.36
2017-01-18,2.42,0.42
2017-01-19,2.47,0.43
2017-01-20,2.48,0.44
2017-01-23,2.41,0.39
2017-01-24,2.47,0.41
2017-01-25,2.53,0.45
2017-01-26,2.51,0.43
2017-01-27,2.49,0.41
2017-01-30,2.49,0.42
2017-01-31,2.45,0.4
2017-02-01,2.48,0.43
2017-02-02,2.48,0.43
2017-02-03,2.49,0.44
2017-02-06,2.42,0.4
2017-02-07,2.4,0.4
2017-02-08,2.34,0.38
2017-02-09,2.4,0.41
2017-02-10,2.41,0.4
2017-02-13,2.43,0.43
2017-02-14,2.47,0.46
2017-02-15,2.51,0.45
2017-02-16,2.45,0.43
2017-02-17,2.42,0.41
2017-02-21,2.43,0.4
2017-02-22,2.42,0.38
2017-02-23,2.38,0.35
2017-02-24,2.31,0.31
2017-02-27,2.36,0.35
2017-02-28,2.36,0.34
2017-03-01,2.46,0.43
2017-03-02,2.49,0.48
2017-03-03,2.49,0.45
2017-03-06,2.49,0.48
2017-03-07,2.52,0.49
2017-03-08,2.57,0.56
2017-03-09,2.6,0.6
2017-03-10,2.58,0.57
2017-03-13,2.62,0.61
2017-03-14,2.6,0.61
2017-03-15,2.51,0.5
2017-03-16,2.53,0.51
2017-03-17,2.5,0.49
2017-03-20,2.47,0.47
2017-03-21,2.43,0.45
2017-03-22,2.4,0.43
2017-03-23,2.41,0.46
2017-03-24,2.4,0.42
2017-03-27,2.38,0.41
2017-03-28,2.42,0.45
2017-03-29,2.39,0.41
2017-03-30,2.42,0.46
2017-03-31,2.4,0.43
2017-04-03,2.35,0.39
2017-04-04,2.36,0.4
2017-04-05,2.34,0.37
2017-04-06,2.34,0.39
2017-04-07,2.38,0.44
2017-04-10,2.37,0.44
2017-04-11,2.32,0.41
