Emittententicker,Name,Sektor,Gewichtung,Boerse
PKI,PERKINELMER INC,Gesundheitsversorgung,0.05,New York Stock Exchange Inc.
BKR,BAKER HUGHES CLASS A,Energie,0.05,NASDAQ
GRMN,GARMIN LTD,Zyklische Konsumgüter ,0.05,New York Stock Exchange Inc.
CLX,CLOROX,Nichtzyklische Konsumgüter,0.05,New York Stock Exchange Inc.
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,IT,0.05,New York Stock Exchange Inc.
PAYC,PAYCOM SOFTWARE INC,IT,0.05,New York Stock Exchange Inc.
CFG,CITIZENS FINANCIAL GROUP INC,Financials,0.05,New York Stock Exchange Inc.
HPE,HEWLETT PACKARD ENTERPRISE,IT,0.05,New York Stock Exchange Inc.
COO,COOPER INC,Gesundheitsversorgung,0.05,New York Stock Exchange Inc.
NVR,NVR INC,Zyklische Konsumgüter ,0.05,New York Stock Exchange Inc.
TDY,TELEDYNE TECHNOLOGIES INC,IT,0.05,New York Stock Exchange Inc.
BBWI,BATH AND BODY WORKS INC,Zyklische Konsumgüter ,0.05,New York Stock Exchange Inc.
NTAP,NETAPP INC,IT,0.05,NASDAQ
MTB,M&T BANK CORP,Financials,0.05,New York Stock Exchange Inc.
DRI,DARDEN RESTAURANTS INC,Zyklische Konsumgüter ,0.05,New York Stock Exchange Inc.
VTR,VENTAS REIT INC,Immobilien,0.05,New York Stock Exchange Inc.
DPZ,DOMINOS PIZZA INC,Zyklische Konsumgüter ,0.05,New York Stock Exchange Inc.
CZR,CAESARS ENTERTAINMENT INC,Zyklische Konsumgüter ,0.05,NASDAQ
GPC,GENUINE PARTS,Zyklische Konsumgüter ,0.05,New York Stock Exchange Inc.
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Kommunikation,0.05,NASDAQ
DGX,QUEST DIAGNOSTICS INC,Gesundheitsversorgung,0.05,New York Stock Exchange Inc.
HOLX,HOLOGIC INC,Gesundheitsversorgung,0.05,NASDAQ
VIAC,VIACOMCBS INC CLASS B,Kommunikation,0.05,NASDAQ
FANG,DIAMONDBACK ENERGY INC,Energie,0.05,NASDAQ
J,JACOBS ENGINEERING GROUP INC,Industrie,0.05,New York Stock Exchange Inc.
FLT,FLEETCOR TECHNOLOGIES INC,IT,0.05,New York Stock Exchange Inc.
PEAK,HEALTHPEAK PROPERTIES INC,Immobilien,0.05,New York Stock Exchange Inc.
TECH,BIO TECHNE CORP,Gesundheitsversorgung,0.05,NASDAQ
AKAM,AKAMAI TECHNOLOGIES INC,IT,0.05,NASDAQ
IP,INTERNATIONAL PAPER,Materialien,0.05,New York Stock Exchange Inc.
CMS,CMS ENERGY CORP,Versorger,0.05,New York Stock Exchange Inc.
ABC,AMERISOURCEBERGEN CORP,Gesundheitsversorgung,0.05,New York Stock Exchange Inc.
RJF,RAYMOND JAMES INC,Financials,0.05,New York Stock Exchange Inc.
CRL,CHARLES RIVER LABORATORIES INTERNA,Gesundheitsversorgung,0.05,New York Stock Exchange Inc.
IEX,IDEX CORP,Industrie,0.05,New York Stock Exchange Inc.
CE,CELANESE CORP,Materialien,0.05,New York Stock Exchange Inc.
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,0.04,NASDAQ
AMCR,AMCOR PLC,Materialien,0.04,New York Stock Exchange Inc.
QRVO,QORVO INC,IT,0.04,NASDAQ
WDC,WESTERN DIGITAL CORP,IT,0.04,NASDAQ
AVY,AVERY DENNISON CORP,Materialien,0.04,New York Stock Exchange Inc.
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrie,0.04,New York Stock Exchange Inc.
CINF,CINCINNATI FINANCIAL CORP,Financials,0.04,NASDAQ
TXT,TEXTRON INC,Industrie,0.04,New York Stock Exchange Inc.
MAS,MASCO CORP,Industrie,0.04,New York Stock Exchange Inc.
CTRA,COTERRA ENERGY INC,Energie,0.04,New York Stock Exchange Inc.
MGM,MGM RESORTS INTERNATIONAL,Zyklische Konsumgüter ,0.04,New York Stock Exchange Inc.
RCL,ROYAL CARIBBEAN GROUP LTD,Zyklische Konsumgüter ,0.04,New York Stock Exchange Inc.
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrie,0.04,NASDAQ
AES,AES CORP,Versorger,0.04,New York Stock Exchange Inc.
BXP,BOSTON PROPERTIES REIT INC,Immobilien,0.04,New York Stock Exchange Inc.
UDR,UDR REIT INC,Immobilien,0.04,New York Stock Exchange Inc.
BIO,BIO RAD LABORATORIES INC CLASS A,Gesundheitsversorgung,0.04,New York Stock Exchange Inc.
CNP,CENTERPOINT ENERGY INC,Versorger,0.04,New York Stock Exchange Inc.
PWR,QUANTA SERVICES INC,Industrie,0.04,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Materialien,0.04,New York Stock Exchange Inc.
K,KELLOGG,Nichtzyklische Konsumgüter,0.04,New York Stock Exchange Inc.
BRO,BROWN & BROWN INC,Financials,0.04,New York Stock Exchange Inc.
LKQ,LKQ CORP,Zyklische Konsumgüter ,0.04,NASDAQ
AAP,ADVANCE AUTO PARTS INC,Zyklische Konsumgüter ,0.04,New York Stock Exchange Inc.
CCL,CARNIVAL CORP,Zyklische Konsumgüter ,0.04,New York Stock Exchange Inc.
CAG,CONAGRA BRANDS INC,Nichtzyklische Konsumgüter,0.04,New York Stock Exchange Inc.
EVRG,EVERGY INC,Versorger,0.04,New York Stock Exchange Inc.
VTRS,VIATRIS INC,Gesundheitsversorgung,0.04,NASDAQ
TFX,TELEFLEX INC,Gesundheitsversorgung,0.04,New York Stock Exchange Inc.
OMC,OMNICOM GROUP INC,Kommunikation,0.04,New York Stock Exchange Inc.
FBHS,FORTUNE BRANDS HOME AND SECURITY I,Industrie,0.04,New York Stock Exchange Inc.
LYV,LIVE NATION ENTERTAINMENT INC,Kommunikation,0.04,New York Stock Exchange Inc.
LNT,ALLIANT ENERGY CORP,Versorger,0.04,NASDAQ
UAL,UNITED AIRLINES HOLDINGS INC,Industrie,0.04,NASDAQ
PHM,PULTEGROUP INC,Zyklische Konsumgüter ,0.04,New York Stock Exchange Inc.
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Kommunikation,0.04,New York Stock Exchange Inc.
MKTX,MARKETAXESS HOLDINGS INC,Financials,0.04,NASDAQ
SJM,JM SMUCKER,Nichtzyklische Konsumgüter,0.04,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Zyklische Konsumgüter ,0.04,New York Stock Exchange Inc.
CAH,CARDINAL HEALTH INC,Gesundheitsversorgung,0.04,New York Stock Exchange Inc.
ABMD,ABIOMED INC,Gesundheitsversorgung,0.04,NASDAQ
CDAY,CERIDIAN HCM HOLDING INC,IT,0.04,New York Stock Exchange Inc.
KIM,KIMCO REALTY REIT CORP,Immobilien,0.04,New York Stock Exchange Inc.
FMC,FMC CORP,Materialien,0.04,New York Stock Exchange Inc.
CBOE,CBOE GLOBAL MARKETS INC,Financials,0.04,Cboe BZX formerly known as BATS
NLOK,NORTONLIFELOCK INC,IT,0.03,NASDAQ
IRM,IRON MOUNTAIN INC,Immobilien,0.03,New York Stock Exchange Inc.
FFIV,F5 INC,IT,0.03,NASDAQ
CHRW,CH ROBINSON WORLDWIDE INC,Industrie,0.03,NASDAQ
MOS,MOSAIC,Materialien,0.03,New York Stock Exchange Inc.
LVS,LAS VEGAS SANDS CORP,Zyklische Konsumgüter ,0.03,New York Stock Exchange Inc.
BFB,BROWN FORMAN CORP CLASS B,Nichtzyklische Konsumgüter,0.03,New York Stock Exchange Inc.
HAS,HASBRO INC,Zyklische Konsumgüter ,0.03,NASDAQ
HRL,HORMEL FOODS CORP,Nichtzyklische Konsumgüter,0.03,New York Stock Exchange Inc.
MRO,MARATHON OIL CORP,Energie,0.03,New York Stock Exchange Inc.
PTC,PTC INC,IT,0.03,NASDAQ
LDOS,LEIDOS HOLDINGS INC,Industrie,0.03,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Materialien,0.03,New York Stock Exchange Inc.
ATO,ATMOS ENERGY CORP,Versorger,0.03,New York Stock Exchange Inc.
INCY,INCYTE CORP,Gesundheitsversorgung,0.03,NASDAQ
LNC,LINCOLN NATIONAL CORP,Financials,0.03,New York Stock Exchange Inc.
RHI,ROBERT HALF,Industrie,0.03,New York Stock Exchange Inc.
PKG,PACKAGING CORP OF AMERICA,Materialien,0.03,New York Stock Exchange Inc.
PNR,PENTAIR,Industrie,0.03,New York Stock Exchange Inc.
TPR,TAPESTRY INC,Zyklische Konsumgüter ,0.03,New York Stock Exchange Inc.
HWM,HOWMET AEROSPACE INC,Industrie,0.03,New York Stock Exchange Inc.
FOXA,FOX CORP CLASS A,Kommunikation,0.03,NASDAQ
LUMN,LUMEN TECHNOLOGIES INC,Kommunikation,0.03,New York Stock Exchange Inc.
HST,HOST HOTELS & RESORTS REIT INC,Immobilien,0.03,NASDAQ
ALLE,ALLEGION PLC,Industrie,0.03,New York Stock Exchange Inc.
WRK,WESTROCK,Materialien,0.03,New York Stock Exchange Inc.
JKHY,JACK HENRY AND ASSOCIATES INC,IT,0.03,NASDAQ
SNA,SNAP ON INC,Industrie,0.03,New York Stock Exchange Inc.
AAL,AMERICAN AIRLINES GROUP INC,Industrie,0.03,NASDAQ
XRAY,DENTSPLY SIRONA INC,Gesundheitsversorgung,0.03,NASDAQ
L,LOEWS CORP,Financials,0.03,New York Stock Exchange Inc.
REG,REGENCY CENTERS REIT CORP,Immobilien,0.03,NASDAQ
CMA,COMERICA INC,Financials,0.03,New York Stock Exchange Inc.
WRB,WR BERKLEY CORP,Financials,0.03,New York Stock Exchange Inc.
AOS,A O SMITH CORP,Industrie,0.03,New York Stock Exchange Inc.
BWA,BORGWARNER INC,Zyklische Konsumgüter ,0.03,New York Stock Exchange Inc.
RE,EVEREST RE GROUP LTD,Financials,0.03,New York Stock Exchange Inc.
HSIC,HENRY SCHEIN INC,Gesundheitsversorgung,0.03,NASDAQ
JNPR,JUNIPER NETWORKS INC,IT,0.03,New York Stock Exchange Inc.
ZION,ZIONS BANCORPORATION,Financials,0.03,NASDAQ
CTXS,CITRIX SYSTEMS INC,IT,0.03,NASDAQ
NI,NISOURCE INC,Versorger,0.03,New York Stock Exchange Inc.
MHK,MOHAWK INDUSTRIES INC,Zyklische Konsumgüter ,0.03,New York Stock Exchange Inc.
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Gesundheitsversorgung,0.03,New York Stock Exchange Inc.
APA,APA CORP,Energie,0.02,NASDAQ
SEE,SEALED AIR CORP,Materialien,0.02,New York Stock Exchange Inc.
AIZ,ASSURANT INC,Financials,0.02,New York Stock Exchange Inc.
NRG,NRG ENERGY INC,Versorger,0.02,New York Stock Exchange Inc.
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Immobilien,0.02,New York Stock Exchange Inc.
WYNN,WYNN RESORTS LTD,Zyklische Konsumgüter ,0.02,NASDAQ
BEN,FRANKLIN RESOURCES INC,Financials,0.02,New York Stock Exchange Inc.
GL,GLOBE LIFE INC,Financials,0.02,New York Stock Exchange Inc.
NWL,NEWELL BRANDS INC,Zyklische Konsumgüter ,0.02,NASDAQ
TAP,MOLSON COORS BREWING CLASS B,Nichtzyklische Konsumgüter,0.02,New York Stock Exchange Inc.
CPB,CAMPBELL SOUP,Nichtzyklische Konsumgüter,0.02,New York Stock Exchange Inc.
PENN,PENN NATIONAL GAMING INC,Zyklische Konsumgüter ,0.02,NASDAQ
NWSA,NEWS CORP CLASS A,Kommunikation,0.02,NASDAQ
LW,LAMB WESTON HOLDINGS INC,Nichtzyklische Konsumgüter,0.02,New York Stock Exchange Inc.
DISH,DISH NETWORK CORP CLASS A,Kommunikation,0.02,NASDAQ
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Zyklische Konsumgüter ,0.02,New York Stock Exchange Inc.
IVZ,INVESCO LTD,Financials,0.02,New York Stock Exchange Inc.
DXC,DXC TECHNOLOGY,IT,0.02,New York Stock Exchange Inc.
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrie,0.02,New York Stock Exchange Inc.
PNW,PINNACLE WEST CORP,Versorger,0.02,New York Stock Exchange Inc.
PBCT,PEOPLES UNITED FINANCIAL INC,Financials,0.02,NASDAQ
WU,WESTERN UNION,IT,0.02,New York Stock Exchange Inc.
NLSN,NIELSEN HOLDINGS PLC,Industrie,0.02,New York Stock Exchange Inc.
PVH,PVH CORP,Zyklische Konsumgüter ,0.02,New York Stock Exchange Inc.
OGN,ORGANON,Gesundheitsversorgung,0.02,New York Stock Exchange Inc.
ROL,ROLLINS INC,Industrie,0.02,New York Stock Exchange Inc.
DVA,DAVITA INC,Gesundheitsversorgung,0.02,New York Stock Exchange Inc.
DISCK,DISCOVERY INC SERIES C,Kommunikation,0.02,NASDAQ
VNO,VORNADO REALTY TRUST REIT,Immobilien,0.02,New York Stock Exchange Inc.
ALK,ALASKA AIR GROUP INC,Industrie,0.02,New York Stock Exchange Inc.
HBI,HANESBRANDS INC,Zyklische Konsumgüter ,0.02,New York Stock Exchange Inc.
IPGP,IPG PHOTONICS CORP,IT,0.02,NASDAQ
RL,RALPH LAUREN CORP CLASS A,Zyklische Konsumgüter ,0.01,New York Stock Exchange Inc.
LEG,LEGGETT & PLATT INC,Zyklische Konsumgüter ,0.01,New York Stock Exchange Inc.
FOX,FOX CORP CLASS B,Kommunikation,0.01,NASDAQ
UAA,UNDER ARMOUR INC CLASS A,Zyklische Konsumgüter ,0.01,New York Stock Exchange Inc.
DISCA,DISCOVERY INC SERIES A,Kommunikation,0.01,NASDAQ
UA,UNDER ARMOUR INC CLASS C,Zyklische Konsumgüter ,0.01,New York Stock Exchange Inc.
GPS,GAP INC,Zyklische Konsumgüter ,0.01,New York Stock Exchange Inc.
NWS,NEWS CORP CLASS B,Kommunikation,0.01,NASDAQ
